id,title,image,description,language,categories,website,author,itunes_id
124,STAY CALM PODCAST,http://is2.mzstatic.com/image/thumb/Music117/v4/87/12/62/87126241-beb5-bdd6-6279-adb8110fd4ea/source/600x600bb.jpg,"<p>Companion podcast for STAY CALM COMIC by LusRC. Episodes are released every Monday, and include a podcast, webcomic and printable 1-page zine. Check them out at <a href=""http://staycalmcomic.com"">staycalmcomic.com</a></p>

<p>The current series is called ""For Millennial Managers"", which offers advice and entertainment while inspecting management and coworker relationships. From resolving conflict to making decisions to widening norms to difficult conversations.</p>

<p>I love hearing from listeners. Send me your reactions and questions through social media, or anonymously through ask.fm:
<ul>
<li><a href=""http://ask.fm/staycalmcomic"">Ask.fm</a></li>
<li><a href=""https://twitter.com/staycalmcomic"">Twitter</a></li>
<li><a href=""https://www.facebook.com/staycalmcomic"">Facebook</a></li>
</ul>
</p>

<p>Subscribe to this podcast on 
<ul>
<li><a href=""https://itunes.apple.com/us/podcast/stay-calm-podcast/id1178475345"">iTunes</a></li>
<li><a href=""https://play.google.com/music/listen?u=0#/ps/I5z64p67kw7xt3iijqhdp7yaukm"">Google Play</a></li>
<li><a href=""https://soundcloud.com/lus-257620186/sets/for-millennial-managers"">Soundcloud</a></li>
</ul>
</p>",English,Arts | Comedy | Careers | Visual Arts | Business | Management & Marketing,http://staycalmcomic.com,LusRC,1178475345
125,This Is Hell!,http://is5.mzstatic.com/image/thumb/Music71/v4/7b/43/3f/7b433f14-17ea-2bbc-bf06-8a64a203fba7/source/600x600bb.jpg,"This is Hell! is a weekly radio interview show broadcast without the virtue of money or the vice of political agenda. Every Saturday morning, your bitter, blind, broke, gap-toothed host Chuck Mertz works off his hangover talking to the journalists, authors and activists working to make this world a slightly less hellish place. And we do it all live, uninterrupted and unedited, Saturdays at 9 AM Central on WNUR 89.3FM Chicago and podcast to the world shortly after.",English,News & Politics | Government & Organizations | Society & Culture,http://thisishell.com,This Is Hell!,73329951
126,The Creativity Habit,http://is5.mzstatic.com/image/thumb/Music118/v4/e5/7e/f1/e57ef17a-40c6-6df4-b25f-715cdf73eacc/source/600x600bb.jpg,"The creativity habit is a weekly podcast with artists, creatives, and makers. Conversations about failure, success, fear, courage, and art. Always art. Because everyone is creative, everyone is an artist, and everyone has something to make.",English,Arts | Business | Education,http://thecreativityhabit.com/podcast,Daphne Cohn,1211324060
127,The No BS Coaching Advice Pod,http://is4.mzstatic.com/image/thumb/Music117/v4/b2/d7/96/b2d796a0-46b5-d6bb-b949-fcbf1347013c/source/600x600bb.jpg,"Need some easy coaching advice and thoughts? Subscribe and listen to Jeff Altman, The Big Game Hunter help you and others play big in the world. Laugh and smile withJeff and start to play BIG ... HUGE!!!!!",English,Business,https://anchor.fm/no-bs-coaching-advice,Jeff Altman / Anchor,1256647122
128,Mondo Kool,http://is2.mzstatic.com/image/thumb/Music118/v4/97/97/af/9797affb-6b92-f25e-cf08-a9c298d0775b/source/600x600bb.jpg,A Hip Hop Podcast that your 35 year old cousin who listens to exclusively Gangstarr will probably hate. Listen Live on Tuesdays 9pm PST on https://www.twitch.tv/mondokool,English,Music,https://www.twitch.tv/mondokool,Mark Lane,1281830565
129,Son Rise Church and Ministries (Audio),http://is5.mzstatic.com/image/thumb/Music118/v4/68/33/c3/6833c3ca-28e5-bf93-a27a-451892c9251d/source/600x600bb.jpg,Weekly Sermons from Son Rise Church and Ministries.,English,Religion & Spirituality,http://,Son Rise Church and Ministries,1257590036
130,The Gubmint Name Podcast,http://is2.mzstatic.com/image/thumb/Music71/v4/ce/2b/b8/ce2bb847-4d76-2e98-8b5b-0911bd6909b5/source/600x600bb.jpg,"Shogun and Cole Jackson discuss what's happening in News, Politics, Pop culture, Music and more. Real Social Commentary from Real people. Coming to you every Tuesday.",English,News & Politics,http://www.bynkradio.net,BYNK Radio,1086986662
131,The Chase Thomas Podcast,http://is3.mzstatic.com/image/thumb/Music122/v4/5c/7b/f7/5c7bf7e7-e997-d8f0-a8d4-edc2aca0faad/source/600x600bb.jpg,"Chase Thomas hosts the up-and-coming podcast that features a deep cast of sports writers, analysts and personalities and covers everything you could possibly want as a sports fan.",English,Professional | Sports & Recreation,http://chasethomaspodcast.libsyn.com/podcast,Chase Thomas,1192894433
132,Propel Church Podcast,http://is2.mzstatic.com/image/thumb/Music117/v4/b2/ab/65/b2ab6570-733a-fa43-fbfc-0a3115550416/source/600x600bb.jpg,"Welcome to our weekly podcast. To keep up with the latest news, visit us at www.propelchurchaz.com and thanks for subscribing!",English,Religion & Spirituality | Christianity,https://www.propelchurchaz.com/podcast-new/,Propel Church,1252897912
133,Polite Conversations,http://is1.mzstatic.com/image/thumb/Music71/v4/32/b0/e9/32b0e929-34b8-4b6b-f134-be6fc0af95e2/source/600x600bb.jpg,"A podcast discussing, religion, politics, sexuality...from a liberal, ex-muslim perspective. Banned twice on YouTube.",English,Society & Culture,https://www.patreon.com/nicemangos,Eiynah,1086199663
134,The Environment Report,http://is3.mzstatic.com/image/thumb/Music62/v4/1a/dc/71/1adc71c7-fe25-c72a-3594-a5c94e43e867/source/600x600bb.jpg,"Michigan Radio's ""The Environment Report"" hosted by Rebecca Williams explores the relationship between the natural world and the everyday lives of people in Michigan. New episodes every Tuesday and Thursday.",English,News & Politics | Natural Sciences | Science & Medicine,http://michiganradio.org/programs/environment-report,Michigan Radio,79681293
135,Banned From Ringside,http://is2.mzstatic.com/image/thumb/Music128/v4/ba/0a/e7/ba0ae701-71b5-010f-6617-a5b3c3da02b3/source/600x600bb.jpg,"Banned From Ringside is a show completely dedicated to the world of professional wrestling. WWE, ROH, NJPW, Glory Pro and more. ",English,Professional | Sports & Recreation | TV & Film,http://www.blogtalkradio.com/bannedfromringside,Banned From Ringside,1236289579
136,The Health Fix,http://is2.mzstatic.com/image/thumb/Music82/v4/76/06/d0/7606d0d0-268e-f67a-5350-eaa669e4c9af/source/600x600bb.jpg,"Jannine Krause is a naturopathic doctor & acupuncturist here to give you your dose of health, fitness, nutrition and stress management tips to take control of your health to live a fun active healthy life. Discover how to defy aging naturally at www.doctorjkrausend.com.",English,Self-Help | Fitness & Nutrition | Health | Alternative Health,http://doctorjkrausend.com,Dr. Jannine Krause,1191374534
137,Not Another NERDY Podcast!,http://is3.mzstatic.com/image/thumb/Music122/v4/48/ff/a3/48ffa31a-edef-bce4-4006-533b77721e6d/source/600x600bb.jpg,"Not Another Nerdy Podcast is where three Homeboys 4 Life and an occasional Guest get together to discuss all things pertaining to Nerd & Geek Culture! Movies, Comics, Cartoons, Toys, Video Games or even Wrestling! Nothing is off the table for these Nerds.",English,Arts,http://Notpodcast1.podbean.com,@Notpodcast1,1185294004
138,Your Creative Push,http://is5.mzstatic.com/image/thumb/Music71/v4/45/c0/c0/45c0c0be-c772-cb8f-9489-13df0e94c192/source/600x600bb.jpg,"Your Creative Push is the daily podcast that pushes YOU to pursue your creative passion.  Every day, Youngman Brown interviews artists, musicians, writers, photographers, graphic designers, and other inspirational creative individuals in an attempt to get them to inspire you to put aside your excuses and START DOING WORK.  Each artist opens up to YOU, revealing the things that hold THEM back on a daily basis, and how they FIGHT THROUGH IT.  They then give you one final push, in an attempt to motivate you to start doing work as soon as the episode is over.  If you have a full-time job or full-time responsibilities and WISH that you had the COURAGE and MOTIVATION to FINALLY do that thing that has been on your mind, this podcast is for you!",English,Education | Arts | Visual Arts,http://YourCreativePush.com,Youngman Brown,1076065735
139,Greenwood Baptist Church,http://is1.mzstatic.com/image/thumb/Music71/v4/e3/3e/d0/e33ed051-f17b-ca9e-1a6f-942f939c5f92/source/600x600bb.jpg,Weekly Sermons from Greenwood Baptist Church in Weatherford Texas,English,Christianity | Spirituality | Religion & Spirituality,https://greenwood.church/,Brian Bond,980870447
140,MarijuanaChurch,http://is5.mzstatic.com/image/thumb/Music118/v4/75/9c/c6/759cc6f9-43ae-06b1-d264-0373ef8ced1c/source/600x600bb.jpg,Podcast by MarijuanaChurch,English,Religion & Spirituality,http://soundcloud.com/user-519367239,MarijuanaChurch,1326044305
141,Faith United Reformed Church,http://is1.mzstatic.com/image/thumb/Music/v4/cf/54/4a/cf544aba-feb0-c2da-f983-4278b480973f/source/600x600bb.jpg,The latest feed from Faith United Reformed Church on SermonAudio.com.,English,Christianity | Religion & Spirituality,http://www.sermonaudio.com/faithurc,Rev. Todd Joling,359991312
142,Canvas Church,http://is5.mzstatic.com/image/thumb/Music2/v4/16/40/d9/1640d9d4-ed96-3055-3c0c-95ca29c45e3c/source/600x600bb.jpg,"Canvas is a non-denominational church located in San Diego, California pastored by Ben Brinkman. In Canvas we want ot be an acces point for people to discover Jesus Christ, realize their dream and begin to live in it. You can expect each message to be Bib",English,Christianity | Religion & Spirituality,http://www.canvaschurchsd.com,Ben Brinkman,579535307
143,BadCritic Podcast,http://is5.mzstatic.com/image/thumb/Music127/v4/ec/97/9d/ec979d44-c4a3-a330-a241-dd454ae05638/source/600x600bb.jpg,BadCritic Podcast is for movie lovers and those that enjoy candid conversations about life.,English,TV & Film,http://badcriticpodcast.libsyn.com/website,Scott Nuttall,1250315821
144,Union Church San Clemente,http://is2.mzstatic.com/image/thumb/Music118/v4/cc/99/9b/cc999b8d-b073-d013-a699-d0086dfd18d5/source/600x600bb.jpg,"Sermons from Union Church in San Clemente, CA",English,Religion & Spirituality | Christianity | Philosophy | Society & Culture,https://www.unionchurchsc.com/sermon-podcast/,Union Church,1300448771
145,Ericast.com Podcast - DWEEB THOUGHTS,http://is2.mzstatic.com/image/thumb/Music19/v4/aa/28/d8/aa28d822-4386-c9cc-4ca1-a3338019c1c7/source/600x600bb.jpg,"From Ericast.com, the various ""dweeb thoughts"" of Eric M. Larson - commentary usually related to philosophy and (of?) technology, all pointing to the goal of ""supporting learning"".",English,Education,http://www.ericast.com/,Eric M. Larson,1170729521
146,Messages,http://is3.mzstatic.com/image/thumb/Music3/v4/ae/ba/ef/aebaefb1-44a0-eb10-8915-d0644a2022f5/source/600x600bb.jpg,Messages,English,Religion & Spirituality | Christianity,http://www.thecrosspointchurch.ca,Rob Chartrand,387369375
147,Church Talk,http://is1.mzstatic.com/image/thumb/Music118/v4/97/fc/9d/97fc9df3-4ba6-7d3f-adfa-88e984b24fcd/source/600x600bb.jpg,Join the conversation with Rev. Kevin Wright and Rev. Jim Keat as they explore the future of the church in our world.,English,Religion & Spirituality,http://www.spreaker.com/show/church-talk,The Riverside Church NYC,1313312162
148,The Allergies Podcast,http://is5.mzstatic.com/image/thumb/Music118/v4/0a/53/bf/0a53bf76-4aec-7740-ce65-c2c518d4a1b3/source/600x600bb.jpg,"Bristol beatmakers, The Allergies, bring you a monthly podcast bursting with classic hip hop,  dancefloor funk, disco, and everything in between. Expect guest mixes from legendary DJs, Interviews, and up-to-date news on what's happening in the world of all things groovy.",English,Music,http://www.spreaker.com/show/the-allergies-podcast,The Allergies,1248321738
149,New Eden Podcast,http://is3.mzstatic.com/image/thumb/Music128/v4/14/57/65/1457652f-1eeb-4df8-8e32-3765fc18a87e/source/600x600bb.jpg,Ein deutschsprachiger EVE Online Podcast,German,Video Games | Games & Hobbies | Technology | Podcasting,http://www.newedenpodcast.de,Alexander Vieback,1286459890
150,Calvary Podcasts,http://is1.mzstatic.com/image/thumb/Music62/v4/84/0d/7b/840d7b01-052e-94b7-582b-681398b57aef/source/600x600bb.jpg,Listen in each Sunday as we broadcast our weekly sermon!,English,Christianity | Religion & Spirituality,http://www.calvaryeuless.com,Calvary Baptist Church,1164361439
151,Redemption's Hill Church Sermons,http://is5.mzstatic.com/image/thumb/Music71/v4/6a/9f/1d/6a9f1d33-f076-9463-587d-ebc5640a74dc/source/600x600bb.jpg,The weekly messages of Pastor T.J. Dreyer and Redemption's Hill Church.,English,Christianity | Religion & Spirituality,http://www.redemptionshill.com,T.J. Dreyer,987711195
152,Bethel United Reformed Church,http://is3.mzstatic.com/image/thumb/Music/v4/e1/88/e4/e188e4de-4730-1599-5533-fab2afbacf69/source/600x600bb.jpg,The latest feed from Bethel United Reformed Church on SermonAudio.com.,English,Religion & Spirituality | Christianity,http://www.sermonaudio.com/bethelurc,Rev. Jason Tuinstra,445583533
153,Hope for Today,http://is2.mzstatic.com/image/thumb/Music71/v4/e6/8a/23/e68a2338-6423-8bb8-1d65-ab960b940095/source/600x600bb.jpg,Hope 4 Today examines practical life issues through the lens of the Bible. Host Najja E. Brown greets the audience with hope and encouragement from God's Word.,English,Christianity | Religion & Spirituality,http://www.blogtalkradio.com/hope4today,Hope 4 Today,1057777052
154,Maddie Keller,http://is2.mzstatic.com/image/thumb/Music128/v4/51/10/d1/5110d1ba-f127-d98a-a646-7a09d91840b4/source/600x600bb.jpg,My brother Jordan Keller wrote a book on autism because he has autism the book is called jumbled pieces autism his name is Jordan Keller,English,Business,https://anchor.fm/keller-triplets,Jumbled Pieces Autism The Book / Anchor,1330032334
155,Titus 2 Minute: A bite-sized podcast for Christian women,http://is2.mzstatic.com/image/thumb/Music128/v4/4a/05/df/4a05dfc6-e793-dcbe-f327-1ad472842efb/source/600x600bb.jpg,"Welcome to the Titus 2 Minute - a bite sized podcast that gives you the tools, inspiration, and encouragement you need to craft a Gospel-Centered Home. Join host Jami Balmet as she interviews Christian women in all aspects of Biblical Womanhood and Homemaking!",English,Christianity | Kids & Family | Religion & Spirituality,http://titus2minute.libsyn.com/website,Jami Balmet,1303841046
156,The acouplemarks's Podcast,http://is3.mzstatic.com/image/thumb/Music128/v4/3d/19/97/3d1997f2-3a3b-af74-ef08-2f5ec51dc7ae/source/600x600bb.jpg,"We are a wrestling podcast called A Couple Marks Wrestling Podcast.
We can be found on Facebook.com/acmwrestling
We can be found on Twitter @ACMWrestling",English,Sports & Recreation | Professional,https://acouplemarks.podbean.com,"Cameron Manning, Chris Nattania and The Coach",1257480958
157,Tight Pencils Podcast,http://is3.mzstatic.com/image/thumb/Music62/v4/1e/bc/9e/1ebc9e06-c1e6-cd39-0d65-736e732df0d7/source/600x600bb.jpg,"Tight Pencils is a podcast about drawing, the creative process, and other junk. 
Hosted by Kevin Budnik",English,Arts | Design,http://tightpencils.com,Tight Pencils,949360001
158,Getting LOST,http://is1.mzstatic.com/image/thumb/Music62/v4/55/39/50/5539501d-9a1a-7721-a748-e8afd4a6fee9/source/600x600bb.jpg,Every week we will bring you an in-depth look and analysis of each episode of LOST.  Clint is watching the show for the first time just before we record the episode.  Adam has seen the entire series 7 complete times.  Listen as we pick apart and grow to love the characters of this hit TV show.,English,Comedy | TV & Film,http://gettinglost.libsyn.com/podcast,Adam Daly,1054257918
159,Orlando Opinions,http://is4.mzstatic.com/image/thumb/Music118/v4/4d/5d/ab/4d5dabee-1852-dfd8-9a1a-3214be3a5b11/source/600x600bb.jpg,"Join Mark Baratelli (editor of thedailycity.com) and  learn more about the city of Orlando, whether you live in Central Florida or not!  New local businesses, local laws, and local politicians.",English,News & Politics | Comedy | Society & Culture,http://orlandoopinions.libsyn.com/website,PFT Media,1268475229
160,Eye on Wales,http://is3.mzstatic.com/image/thumb/Music111/v4/6c/1a/e8/6c1ae8f5-f321-0841-c8d4-071dd8b7356f/source/600x600bb.jpg,"Kayley Thomas focuses on the stories that matter in Wales, offering in-depth analysis of the issues of the day.",English,News & Politics,http://www.bbc.co.uk/programmes/b007h3r2,BBC,972097862
161,Hoosier Network Podcasts,http://is2.mzstatic.com/image/thumb/Music118/v4/f6/86/a5/f686a5db-d7ee-827b-5e56-d1a5e8a0a1cf/source/600x600bb.jpg,Podcast by IU Sports Media,English,Sports & Recreation,http://soundcloud.com/user-303673382,IU Sports Media,1316075960
162,Flight Through Entirety: A Doctor Who Podcast,http://is2.mzstatic.com/image/thumb/Music118/v4/c4/5e/8e/c45e8e0b-3a6d-4f97-d35c-7e00b38f7ac2/source/600x600bb.jpg,Flying through the entire history of Doctor Who. With Cake.,English,TV & Film,http://flightthroughentirety.com/,Flight Through Entirety,882716995
163,PopBuzz Podcast,http://is4.mzstatic.com/image/thumb/Music118/v4/f3/06/24/f30624bf-b436-7dfc-1619-cbd9b868f249/source/600x600bb.jpg,"The PopBuzz team bring you their weekly run-down of the biggest events in pop culture featuring celebrity guests, quizzes, the freshest bangers to drop and a lo",English,Music | Comedy,http://www.popbuzz.com,PopBuzz,1121555293
164,Church Unlimited,http://is5.mzstatic.com/image/thumb/Music71/v4/02/50/c5/0250c524-b7bb-cfbc-a0c3-f6f945be2cfa/source/600x600bb.jpg,"Welcome to the weekly podcast of Church Unlimited, led by Pastor Brandon Ball. To learn more about our church, visit our website at http://mychurchunlimited.com, or download our Church Unlimited Alabama app. #GodisONLYgood",English,Religion & Spirituality | Christianity,http://mychurchunlimited.com,Pastor Brandon Ball,999470254
165,The Future Underground Show,http://is5.mzstatic.com/image/thumb/Music118/v4/d7/e0/aa/d7e0aa3d-4014-aa46-b173-2dc4afb8cfcb/source/600x600bb.jpg,"Nick Bowman presents The Future Underground Show. Listen and download the monthly show here on Podomatic. 

Previous guests on the show include: Sasha, Mauro Picotto, Ellen Allien, Audio Injection, Cari Lekebusch, Joel Mull, Alan Fitzpatrick, Gary Beck, Nic Fanciulli, Paul Woolford, Mark Broom, Deepgroove, Thomas Schumacher, Heckmann, Israel Toledo, Stefano Noferini, Daniel Portman, Hobo, Hans Bouffmyhre, Markantonio, Kai Randy Michel, Ray Kajioka, Snello, Chris Page, Nima Khak, Bryan Chapman, On/Off, Nihad Tule, Manic Brothers, Forest People, Roberto Capuano, Xpansul, Ricardo Garduno, Bodyscrub, Gene Karz, Mike Vath, Marco Piangiamore, Frankyeffe, Skober, Petter B, Alex Dolby, Reggy Van Oers, Linus Quick, Dave Sinner, M.I.D.I., Joy Fagnani, Stefano Infusino, Tengrams, Markus Bohm, Peja, Uron, Jacob B, Mylo Salte, Gabeen, Theofore Elektrik, Soren Aalberg, Andres Gil, Chris Page, Aleja Sanchez, A Square, Alessan Main, Peja, Uron, Heron, Drumcomplex, Anthony Jimenez, Luigi Madonna, Hefty, Irregular Synth, Deraout, Yan Stricker, Bageera, Nico Kohler, Joachim Spieth, Mikael Jonasson, A Square, Luix Spectrum, Hardfloor, Richard Dinsdale, Alex Young, Tom Laws, Kaiser Souzai, EPZ, Bryan Chapman, Camilo Serna, Style of Eye, Simone De Caro, Marck D, Gareth Wild, Ninna V, Camilo Jara, Minor Dott, Alexander Fog, Nik Frattaroli, Kevin Villa, Ricardo Carmona, Elzo, Telmo Fernandez, Sant2, Luis G, Dunny, Santiago Molano, Phyrgian, Jose Monsalve, Fabiano Castellanos, Wehbba and Puresque.",English,Music,http://djnickbowman.podomatic.com,Nick Bowman,288401159
166,"Surely, You Jest!",http://is2.mzstatic.com/image/thumb/Music128/v4/a9/4b/97/a94b97c7-2d46-d966-6ec7-c6e435228080/source/600x600bb.jpg,"the day to day life of sci-fi nerd, podcaster DJ Starsage. Topics may include: home improvement, nutrition, tv, film and video games",English,Comedy | Society & Culture | Personal Journals,https://syjpodcast.wordpress.com,DJ Starsage,1262430613
167,5 to Life: A PhD and Beyond,http://is4.mzstatic.com/image/thumb/Music118/v4/fa/b7/e6/fab7e68d-d386-4609-4768-18362db6fe5e/source/600x600bb.jpg,"Our goal is to build a community of future, current, and past graduate students to support each other through this great adventure. 5 to Life is not only about the commitment we are making to our field of study for the 5 years of grad school but our commitment to science for life",English,Science & Medicine,https://www.5tolifepod.com/,5 to Life Pod,1273893051
168,Burtonsville Baptist Church,http://is4.mzstatic.com/image/thumb/Music/v4/f0/6b/01/f06b01a5-8e5a-83d1-bce5-fea1ccd372e6/source/600x600bb.jpg,"Here you'll find an audio archive of our morning sermons, updated every Sunday with that day's message!",English,Christianity | Religion & Spirituality,http://burtonsvillebaptist.org/,Burtonsville Baptist Church,427084768
169,The AfroReal Show,http://is1.mzstatic.com/image/thumb/Music128/v4/a5/fd/3b/a5fd3bd7-9a7e-1804-f217-9c6d75b6c51c/source/600x600bb.jpg,"#1 African entertainment podcast. Inviting guest from all parts of Africa to have Real conversations. ""We change people through Conversation, not through censorship"" Live on FB every Sunday at 7pm.",English,Comedy,http://www.spreaker.com/show/bebe-getachews-show,Bebe Lee & Guest,1247565960
170,"Align with plants, align with health",http://is3.mzstatic.com/image/thumb/Music49/v4/17/51/12/17511279-13a6-5ee4-d900-09d3bc45f57a/source/600x600bb.jpg,Aligning with the healing power of plants!,English,Health | Alternative Health,https://positivemovement.podbean.com,La Ntia Nash,1096493016
171,Sunny 16,http://is4.mzstatic.com/image/thumb/Music71/v4/dd/0f/16/dd0f160c-db3f-297e-3d36-a2c170ea9c43/source/600x600bb.jpg,"Dust off your old film camera and join Rachel, Ade and Graeme on their adventures in the wonderful world of analog photography, from point and shoots to pinholes and everything in between",English,Games & Hobbies | Visual Arts | Arts | Hobbies,http://www.pixelatedphotographer.com/podcast2/podcastgen/,"Graeme, Ade and Rachel",1120924853
172,BLT Lunch Break,http://is4.mzstatic.com/image/thumb/Music128/v4/f5/72/10/f57210a5-c5b1-47ff-fd93-bac5cff0433d/source/600x600bb.jpg,"Take a break from your day, get away from your desk, and join hosts author Bart Scott, podcaster & filmmaker Logan Sekulow, and musician Tyler Dean McDowell as they talk about life, news, pop culture, entertainment, and of course, lunch!",English,Society & Culture | Food | Comedy | Arts | Places & Travel,http://bltlunchbreak.com,Logan Sekulow,1197688950
173,Urantia Speaks,http://is1.mzstatic.com/image/thumb/Music60/v4/d6/f8/62/d6f862f3-c851-bc7f-d0fa-5ebd36becf59/source/600x600bb.jpg,"A novel, meditative reading, study, and review of the spiritual revelatory masterpiece the Urantia Book and its sublime teachings with host Nadi Burton.",English,Religion & Spirituality | Spirituality,https://nadum.podbean.com,Nadi Burton,958766949
174,Meandercast,http://is2.mzstatic.com/image/thumb/Music118/v4/31/f0/b6/31f0b6d1-1ef4-2076-f068-ad81ca321f46/source/600x600bb.jpg,The Meandercast is the only podcast where you can find comics writer Mark O. Stack and the Eisner-nominated Women Write About Comics' Megan Purdy discussing the most recent comics they've read with a little bit of movies and TV thrown in for good measure.,English,Arts | Literature,http://www.spreaker.com/show/meandercast,Mark Stack,1259457970
175,Lions v Tigers,http://is4.mzstatic.com/image/thumb/Music118/v4/78/68/7b/78687b6c-b75b-4a98-dec3-ce5390f3c4cb/source/600x600bb.jpg,"We're all about winning at life, in the most irreverent way possible.",English,Society & Culture,http://sinningandwinning.com,Lions v Tigers,1312762251
176,Blog - Red Tent Sisters,http://is4.mzstatic.com/image/thumb/Music62/v4/f8/dc/35/f8dc35bb-5873-9bf1-d152-81c50452ea53/source/600x600bb.jpg,"Since 2007, blood sisters Kim & Amy Sedgwick of Red Tent Sisters have been providing holistic solutions to women's fertility, sexuality and contraceptive dilemmas. In Red Tent Sisters: The Podcast, Kim & Amy interview experts on a variety of reproductive and sexual health topics to bring women the best in holistic, eco-friendly solutions to women's most pressing reproductive and sexual health concerns.",English,Alternative Health | Health,http://www.redtentsisters.com/blog/,Red Tent Sisters,940030289
177,Locked on Cubs,http://is2.mzstatic.com/image/thumb/Music128/v4/a4/9f/9b/a49f9b7d-24df-f657-581e-1e5c08dcb5ba/source/600x600bb.jpg,"Locked On Cubs is your daily podcast covering all aspects of the Chicago Cubs.  Hosted by Ryan Davis, taking you inside the clubhouse, breaking down the day's events, and giving unparalleled insight into your Cubs. ",English,Sports & Recreation,,,1333234563
178,College Church of the Nazarene University Avenue,http://is5.mzstatic.com/image/thumb/Music71/v4/ee/35/39/ee353996-b097-0427-4d1a-be47e55e1051/source/600x600bb.jpg,"Sermons from College Church of the Nazarene in Bourbonnais, Illinois.
Recorded live, on location at 200 University Avenue.
Dr. Mark Quanstrom, Senior Pastor",English,Christianity | Religion & Spirituality,http://collegechurch.org/,College Church of the Nazarene University Avenue,581936749
179,Off The Chain,http://is4.mzstatic.com/image/thumb/Music62/v4/07/91/56/079156eb-179b-624e-9d8d-32925994e8c7/source/600x600bb.jpg,"Since I am an author I will be discussing my books. I will also load up the shows with other authors, artists, and a menagerie of characters. Because of who I am one will never know what the show will bring. It keeps the suspense alive. 
You see I am not only an author, I am a person of action, whether it is an injustice that needs righting, education of the masses, or other off the chain subjects. I believe in discourse, but I do not believe in bashing. So all shows will be with respect - but off the chain.     ",English,Society & Culture,http://www.blogtalkradio.com/yvonnemason,Yvonne Mason,1056861654
180,Pinstripe Connection,http://is4.mzstatic.com/image/thumb/Music118/v4/1d/4c/a8/1d4ca896-cd9e-1058-ce62-17744bfe4465/source/600x600bb.jpg,"A podcast from 2 brothers passionate about baseball and the New York Yankees. Current & former player news, fun facts, & a bit of sarcasm. Be sure to tune in.",English,Professional | Sports & Recreation,http://www.pinstripeconnection.com,Pinstripe Connection,1330513805
181,Iglesia La Casa de Dios,http://is2.mzstatic.com/image/thumb/Music71/v4/e9/62/20/e96220ae-b68d-72a9-6df5-adeab1f8e56f/source/600x600bb.jpg,Podcast by La Casa de Dios,Spanish,Religion & Spirituality | Christianity,http://soundcloud.com/lacasadedios,La Casa de Dios,1059524013
182,Grapevine Baptist,http://is4.mzstatic.com/image/thumb/Music71/v4/9a/2d/44/9a2d445d-7e28-52d0-b441-ce63ad42ca23/source/600x600bb.jpg,,English,Religion & Spirituality,http://www.gbcky.net,Grapevine Baptist,1121396535
183,Cate in the Kitchen Podcast,http://is2.mzstatic.com/image/thumb/Music128/v4/56/1d/92/561d9289-9aab-8311-d526-0f0341883c4f/source/600x600bb.jpg,"Writing a blog is evidently no longer enough to satisfy my obsession with food. I've taken to the podcast waves to talk to people all about how they eat, what they eat and why they eat it.",English,Society & Culture | Comedy | Arts | Food,https://cateinthekitchen.co.uk,Cate Bell,1321596890
184,ScressFree Sundays Podcast,http://is4.mzstatic.com/image/thumb/Music118/v4/ab/c8/72/abc87291-7655-c88a-fe09-016ed8a3810b/source/600x600bb.jpg,"We ScressFree. We are a media/promotions company creating some of the most EXCLUSIVE content from our Live Concert events, to our Youtube channel that features interviews from some of your favorite artist.  Be sure to hit the Follow button as we will upload EXCLUSIVE playlist & Also A weekly Podcast ""ScressFree Sundays"" that dives into Pop Culture with a dab of comedy!",English,Comedy,http://soundcloud.com/wescressfree,Brought to you by ScressFree,1325453894
185,Faith Legacy Church,http://is3.mzstatic.com/image/thumb/Music6/v4/e1/26/3b/e1263bee-80f1-2f70-04b6-72344e31c401/source/600x600bb.jpg,"Faith Legacy Church is a worshipping community in Sacramento, CA.",English,Religion & Spirituality | Christianity,http://faithlegacychurch.com,Faith Legacy Church,439065399
186,New Books in Arts & Letters,http://is1.mzstatic.com/image/thumb/Music62/v4/54/4d/07/544d0783-1f89-ef8b-e387-8fc7e0462c19/source/600x600bb.jpg,Interviews with Authors about their New Books,English,Arts | Literature,http://newbooksnetwork.com/category/arts-letters/,Marshall Poe,1090690319
187,This Week in Tech (MP3),http://is5.mzstatic.com/image/thumb/Music71/v4/00/c3/5a/00c35ad3-1c69-35fe-83aa-6886598682ca/source/600x600bb.jpg,"Your first podcast of the week is the last word in tech. Join the top tech pundits in a roundtable discussion of the latest trends in high tech.

Records live every Sunday at 6:00pm Eastern / 3:00pm Pacific / 23:00 UTC.",English,Technology | Gadgets | Tech News | News & Politics | Business News | Business,https://twit.tv/shows/this-week-in-tech,Leo Laporte,73329404
188,Everyday Grammar TV - Voice of America,http://is5.mzstatic.com/image/thumb/Music49/v4/6e/e9/e9/6ee9e916-9b91-723a-a632-62f1609640f3/source/600x600bb.jpg,Everyday Grammar TV is a video series to teach grammar for learners of American English.,English,Education | Language Courses,https://learningenglish.voanews.com/archive/learningenglish-everyday-grammar-tv/latest/4716/4716.html,VOA,1079101818
189,Immanuel Lutheran Church Audio and Sermons,http://is4.mzstatic.com/image/thumb/Music6/v4/00/83/44/008344f6-7d9f-2031-39c1-107020839411/source/600x600bb.jpg,,English,Religion & Spirituality | Christianity,http://immlu.com,Immanuel Lutheran Church,749433984
